               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.036917,            0.024196,           0.0020957,              0.9391,             0.94895,             0.98126,             0.66228,            0.029644,            0.012831,           0.0014856,           0.0089902,           0.0089902,           0.0089902
                  53,            0.036073,            0.026484,            0.002513,             0.89391,             0.96409,             0.94195,             0.62346,            0.030886,             0.01329,           0.0013793,           0.0089704,           0.0089704,           0.0089704
                  54,            0.037784,            0.027896,           0.0020947,               0.942,             0.96498,             0.98071,             0.63101,            0.030347,            0.013235,           0.0013959,           0.0089506,           0.0089506,           0.0089506
                  55,            0.037885,            0.026103,           0.0022477,             0.94092,             0.95552,             0.98145,             0.65072,            0.029938,            0.012746,           0.0013989,           0.0089308,           0.0089308,           0.0089308
                  56,            0.037215,            0.026116,           0.0025207,             0.96731,             0.97909,             0.99049,             0.62888,            0.030934,            0.012373,           0.0015054,            0.008911,            0.008911,            0.008911
                  57,            0.036647,            0.024417,           0.0020592,             0.95297,             0.95518,             0.98755,             0.64575,            0.029589,            0.012553,            0.001653,           0.0088912,           0.0088912,           0.0088912
                  58,            0.037948,            0.023706,            0.002308,             0.96452,             0.96553,             0.98967,             0.62639,            0.029051,            0.012758,           0.0016486,           0.0088714,           0.0088714,           0.0088714
                  59,             0.03184,            0.025027,           0.0017851,             0.98122,             0.95618,             0.99077,             0.67708,            0.030191,            0.012395,           0.0013702,           0.0088516,           0.0088516,           0.0088516
                  60,            0.038775,            0.026589,           0.0018795,             0.97773,              0.9672,             0.99019,             0.62671,             0.03151,            0.012068,           0.0012489,           0.0088318,           0.0088318,           0.0088318
                  61,            0.036182,            0.025565,           0.0018439,             0.96647,             0.96792,             0.99174,             0.65002,            0.029373,            0.011946,           0.0011688,            0.008812,            0.008812,            0.008812
                  62,            0.035071,            0.026465,           0.0015159,             0.95587,             0.96235,             0.98796,             0.63811,             0.02974,            0.011851,           0.0011319,           0.0087922,           0.0087922,           0.0087922
                  63,             0.03487,            0.024605,           0.0017699,             0.94564,             0.97516,             0.98735,             0.66675,            0.029101,            0.011597,           0.0011395,           0.0087724,           0.0087724,           0.0087724
                  64,            0.036318,            0.025478,           0.0016721,              0.9628,              0.9729,              0.9865,             0.66102,            0.028656,            0.011735,           0.0012826,           0.0087526,           0.0087526,           0.0087526
                  65,            0.035592,            0.025435,            0.001866,             0.96231,             0.97446,             0.98434,             0.68141,            0.025613,            0.011527,           0.0014023,           0.0087328,           0.0087328,           0.0087328
                  66,            0.033416,            0.023429,            0.001989,              0.9647,             0.97572,             0.99053,             0.65814,            0.028247,            0.011488,           0.0014488,            0.008713,            0.008713,            0.008713
                  67,            0.032186,            0.024404,           0.0020497,             0.97675,             0.96908,              0.9912,             0.62197,            0.029977,            0.011754,           0.0015399,           0.0086932,           0.0086932,           0.0086932
                  68,            0.034595,            0.025666,           0.0023592,             0.97688,             0.97509,             0.99205,             0.66813,            0.027641,            0.011144,           0.0014836,           0.0086734,           0.0086734,           0.0086734
                  69,              0.0336,            0.027328,           0.0022576,             0.97521,             0.97907,             0.99161,             0.67323,             0.02729,            0.011194,           0.0014015,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033618,            0.024753,           0.0020698,             0.97588,             0.97366,             0.99172,             0.69855,            0.027244,            0.011398,           0.0013438,           0.0086338,           0.0086338,           0.0086338
                  71,            0.031597,            0.024167,           0.0019813,             0.97903,              0.9728,             0.99026,             0.65099,            0.028344,            0.011485,           0.0011471,            0.008614,            0.008614,            0.008614
                  72,             0.03467,            0.025714,           0.0017756,             0.97223,             0.97112,             0.99091,             0.70428,            0.027468,            0.011474,           0.0010847,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033704,            0.024774,           0.0014513,             0.97537,             0.96291,              0.9905,             0.68526,            0.027219,            0.011255,           0.0010621,           0.0085744,           0.0085744,           0.0085744
                  74,            0.033763,             0.02466,           0.0015928,             0.98194,             0.97078,             0.99221,             0.69421,            0.026904,            0.011162,           0.0011195,           0.0085546,           0.0085546,           0.0085546
                  75,            0.033661,            0.024659,           0.0015703,             0.96326,             0.96864,             0.99136,             0.71357,            0.026308,            0.011005,            0.001133,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03455,            0.025513,           0.0014384,             0.98082,             0.96005,             0.99235,             0.69294,            0.027299,            0.011324,           0.0011525,            0.008515,            0.008515,            0.008515
                  77,            0.033715,            0.021989,           0.0026946,             0.98167,             0.96723,             0.99098,             0.69657,            0.026381,            0.011009,            0.001194,           0.0084952,           0.0084952,           0.0084952
